input,H1072075.JPG,H1072078.JPG,H1072080.JPG,H1072082.JPG,H1072084.JPG,H1072086.JPG,H1072088.JPG,H1072090.JPG,H1072092.JPG,H1072094.JPG,H1072096.JPG,H1072098.JPG,H1072100.JPG,H1072102.JPG,H1072104.JPG,H1072107.JPG,H1072110.JPG,H1072112.JPG,H1072114.JPG,H1072116.JPG,H1072118.JPG,H1072120.JPG,H1072122.JPG,H1072124.JPG,H1072126.JPG,H1072128.JPG,H1072130.JPG
82,83.175,82.342,81.882,82.254,82.002,82.740,82.117,81.736,81.663,44.123,57.586,73.883,89.266,104.259,119.561,82.566,70.875,76.499,79.743,83.758,87.818,92.576,96.695,88.952,86.031,77.425,81.105
83,84.204,83.354,82.918,83.274,83.021,83.766,83.147,82.751,82.673,44.909,58.463,74.870,90.312,105.379,120.833,83.578,72.307,77.788,80.857,84.689,88.593,93.207,97.135,89.748,86.941,78.477,82.113
84,85.212,84.357,83.905,84.270,84.017,84.763,84.155,83.742,83.652,45.685,59.337,75.843,91.350,106.492,122.028,84.558,73.736,79.104,81.948,85.613,89.347,93.812,97.562,90.527,87.816,79.509,83.082
85,86.205,85.351,84.885,85.267,85.003,85.758,85.131,84.717,84.623,46.472,60.200,76.776,92.364,107.607,123.251,85.543,75.131,80.412,83.050,86.524,90.081,94.415,97.992,91.298,88.657,80.552,84.050
86,87.203,86.315,85.832,86.241,85.975,86.752,86.092,85.678,85.591,47.256,61.045,77.696,93.381,108.688,124.448,86.522,76.496,81.684,84.148,87.412,90.792,95.004,98.413,92.045,89.480,81.588,85.015
87,88.179,87.271,86.792,87.215,86.942,87.736,87.068,86.656,86.566,48.038,61.872,78.617,94.413,109.782,125.639,87.514,77.879,82.952,85.228,88.325,91.533,95.595,98.831,92.760,90.295,82.646,85.985
88,89.191,88.268,87.782,88.182,87.909,88.716,88.046,87.645,87.547,48.831,62.710,79.541,95.455,110.868,126.797,88.494,79.309,84.202,86.309,89.253,92.268,96.185,99.253,93.489,91.118,83.693,86.950
89,90.178,89.259,88.784,89.172,88.872,89.685,89.033,88.636,88.525,49.637,63.569,80.496,96.527,112.016,127.985,89.492,80.710,85.433,87.391,90.176,93.006,96.776,99.674,94.220,91.939,84.735,87.910
90,91.159,90.247,89.778,90.165,89.852,90.665,90.020,89.623,89.508,50.478,64.440,81.480,97.551,113.127,129.117,90.484,82.099,86.687,88.461,91.090,93.744,97.371,100.104,94.963,92.766,85.808,88.874
91,92.154,91.248,90.769,91.177,90.854,91.673,91.023,90.603,90.504,51.330,65.294,82.469,98.557,114.231,130.278,91.486,83.489,87.923,89.539,92.002,94.488,97.976,100.536,95.703,93.599,86.876,89.866
92,93.169,92.270,91.768,92.165,91.840,92.676,92.010,91.599,91.496,52.198,66.156,83.435,99.579,115.349,131.447,92.475,84.836,89.157,90.614,92.891,95.222,98.592,100.978,96.463,94.470,87.981,90.863
93,94.195,93.293,92.786,93.177,92.823,93.695,92.997,92.572,92.500,53.080,67.023,84.391,100.582,116.448,132.590,93.468,86.192,90.392,91.684,93.814,95.979,99.215,101.427,97.238,95.352,89.084,91.861
94,95.231,94.303,93.774,94.204,93.839,94.705,93.994,93.551,93.494,53.948,67.901,85.366,101.603,117.511,133.709,94.489,87.575,91.622,92.746,94.741,96.737,99.841,101.884,98.009,96.237,90.192,92.858
95,96.247,95.308,94.760,95.215,94.842,95.701,94.974,94.528,94.498,54.814,68.788,86.347,102.625,118.579,134.841,95.506,88.960,92.806,93.784,95.671,97.490,100.475,102.352,98.794,97.122,91.268,93.840
96,97.260,96.303,95.741,96.212,95.846,96.692,95.972,95.507,95.499,55.683,69.693,87.296,103.672,119.645,135.941,96.512,90.311,93.988,94.810,96.591,98.240,101.104,102.824,99.584,98.008,92.334,94.812
97,98.288,97.284,96.732,97.214,96.849,97.715,96.987,96.507,96.524,56.560,70.600,88.245,104.731,120.713,137.066,97.518,91.664,95.198,95.860,97.513,98.990,101.740,103.299,100.380,98.910,93.439,95.808
98,99.316,98.266,97.717,98.233,97.841,98.726,98.000,97.513,97.536,57.456,71.514,89.205,105.769,121.754,138.183,98.526,92.986,96.409,96.907,98.439,99.765,102.383,103.787,101.178,99.810,94.562,96.802
99,100.330,99.275,98.732,99.253,98.839,99.748,99.012,98.531,98.536,58.353,72.433,90.190,106.818,122.839,139.313,99.542,94.329,97.588,97.950,99.374,100.538,103.039,104.292,101.988,100.717,95.683,97.813
100,101.331,100.285,99.757,100.275,99.847,100.775,100.035,99.551,99.540,59.254,73.388,91.181,107.856,123.931,140.452,100.548,95.665,98.800,99.002,100.296,101.334,103.722,104.823,102.836,101.618,96.803,98.838
101,102.344,101.300,100.791,101.301,100.866,101.821,101.081,100.562,100.554,60.184,74.370,92.201,108.890,125.007,141.593,101.584,97.011,100.004,100.068,101.221,102.159,104.426,105.367,103.682,102.523,97.937,99.861
102,103.347,102.319,101.805,102.303,101.885,102.829,102.093,101.570,101.550,61.104,75.327,93.198,109.929,126.113,142.731,102.606,98.303,101.164,101.130,102.172,102.978,105.135,105.925,104.521,103.420,99.081,100.871
103,104.361,103.336,102.822,103.295,102.909,103.826,103.112,102.565,102.544,62.033,76.285,94.209,110.937,127.208,143.843,103.603,99.620,102.370,102.178,103.100,103.814,105.844,106.478,105.352,104.298,100.199,101.868
104,105.371,104.359,103.795,104.282,103.917,104.815,104.108,103.551,103.544,62.948,77.205,95.174,111.940,128.282,144.902,104.603,100.889,103.535,103.201,104.045,104.649,106.564,107.056,106.185,105.184,101.338,102.847
105,106.384,105.363,104.768,105.251,104.891,105.780,105.072,104.516,104.508,63.844,78.094,96.119,112.943,129.326,145.969,105.593,102.157,104.685,104.223,104.971,105.492,107.307,107.643,107.010,106.060,102.474,103.828
106,107.373,106.348,105.748,106.219,105.850,106.742,106.060,105.495,105.492,64.758,79.019,97.073,113.955,130.344,147.033,106.558,103.443,105.810,105.253,105.912,106.336,108.055,108.243,107.808,106.913,103.586,104.808
107,108.357,107.329,106.722,107.202,106.840,107.720,107.036,106.475,106.490,65.667,79.942,98.005,114.972,131.347,148.104,107.543,104.688,106.949,106.303,106.863,107.182,108.803,108.883,108.619,107.764,104.707,105.784
108,109.361,108.322,107.698,108.176,107.834,108.708,108.007,107.458,107.480,66.572,80.870,98.950,115.992,132.371,149.207,108.542,105.944,108.066,107.356,107.821,108.037,109.555,109.537,109.440,108.625,105.855,106.775
109,110.357,109.300,108.680,109.156,108.821,109.719,109.003,108.434,108.479,67.497,81.786,99.921,117.032,133.425,150.327,109.535,107.170,109.213,108.388,108.761,108.908,110.329,110.225,110.263,109.502,107.012,107.769
110,111.370,110.289,109.669,110.179,109.829,110.730,110.004,109.430,109.487,68.452,82.722,100.889,118.074,134.475,151.398,110.541,108.353,110.333,109.439,109.725,109.777,111.139,110.957,111.109,110.399,108.175,108.748
111,112.389,111.277,110.676,111.202,110.813,111.724,111.009,110.447,110.490,69.405,83.694,101.881,119.109,135.533,152.481,111.528,109.488,111.449,110.481,110.698,110.659,111.948,111.690,111.974,111.326,109.357,109.737
112,113.398,112.285,111.678,112.223,111.816,112.751,112.033,111.457,111.495,70.357,84.658,102.882,120.117,136.548,153.533,112.534,110.632,112.560,111.520,111.676,111.556,112.796,112.477,112.857,112.245,110.536,110.750
113,114.397,113.303,112.674,113.254,112.830,113.783,113.051,112.476,112.504,71.328,85.617,103.879,121.125,137.563,154.575,113.534,111.766,113.645,112.573,112.667,112.456,113.664,113.299,113.752,113.208,111.741,111.756
114,115.431,114.325,113.680,114.288,113.856,114.821,114.067,113.499,113.521,72.322,86.623,104.918,122.131,138.563,155.622,114.548,112.929,114.742,113.653,113.679,113.411,114.577,114.145,114.669,114.204,112.942,112.777
115,116.467,115.345,114.696,115.328,114.868,115.855,115.105,114.509,114.535,73.331,87.642,105.932,123.170,139.587,156.676,115.555,114.071,115.832,114.704,114.694,114.360,115.494,115.012,115.601,115.186,114.099,113.800
116,117.483,116.362,115.714,116.334,115.881,116.864,116.103,115.492,115.547,74.322,88.648,106.919,124.176,140.597,157.735,116.560,115.164,116.885,115.746,115.703,115.324,116.428,115.889,116.532,116.186,115.221,114.808
