input,Highlight -7,Highlight -5,Highlight -3,Highlight -1,Highlight +1,Highlight +3,Highlight +5,Highlight +7,Midtone -7,Midtone -5,Midtone -3,Midtone -1,Midtone +1,Midtone +3,Midtone +5,Midtone +7,Shadow -7,Shadow -5,Shadow -3,Shadow -1,Shadow +1,Shadow +3,Shadow +5,Shadow +7,Contrast -2,Contrast -1,Contrast +1,Contrast +2,High Key,Low Key
87,87.271,86.792,87.215,86.942,87.736,87.068,86.656,86.566,32.027,48.038,61.872,78.617,94.413,109.782,125.639,141.587,71.776,77.879,82.952,85.228,88.325,91.533,95.595,98.831,92.760,90.295,82.646,79.737,90.626,78.098
88,88.268,87.782,88.182,87.909,88.716,88.046,87.645,87.547,32.757,48.831,62.710,79.541,95.455,110.868,126.797,142.778,73.295,79.309,84.202,86.309,89.253,92.268,96.185,99.253,93.489,91.118,83.693,80.839,91.706,79.171
89,89.259,88.784,89.172,88.872,89.685,89.033,88.636,88.525,33.495,49.637,63.569,80.496,96.527,112.016,127.985,143.989,74.821,80.710,85.433,87.391,90.176,93.006,96.776,99.674,94.220,91.939,84.735,81.952,92.778,80.230
90,90.247,89.778,90.165,89.852,90.665,90.020,89.623,89.508,34.232,50.478,64.440,81.480,97.551,113.127,129.117,145.194,76.326,82.099,86.687,88.461,91.090,93.744,97.371,100.104,94.963,92.766,85.808,83.035,93.884,81.308
91,91.248,90.769,91.177,90.854,91.673,91.023,90.603,90.504,34.977,51.330,65.294,82.469,98.557,114.231,130.278,146.424,77.792,83.489,87.923,89.539,92.002,94.488,97.976,100.536,95.703,93.599,86.876,84.105,95.004,82.379
92,92.270,91.768,92.165,91.840,92.676,92.010,91.599,91.496,35.725,52.198,66.156,83.435,99.579,115.349,131.447,147.649,79.302,84.836,89.157,90.614,92.891,95.222,98.592,100.978,96.463,94.470,87.981,85.200,96.167,83.457
93,93.293,92.786,93.177,92.823,93.695,92.997,92.572,92.500,36.479,53.080,67.023,84.391,100.582,116.448,132.590,148.887,80.854,86.192,90.392,91.684,93.814,95.979,99.215,101.427,97.238,95.352,89.084,86.317,97.298,84.537
94,94.303,93.774,94.204,93.839,94.705,93.994,93.551,93.494,37.236,53.948,67.901,85.366,101.603,117.511,133.709,150.133,82.392,87.575,91.622,92.746,94.741,96.737,99.841,101.884,98.009,96.237,90.192,87.440,98.462,85.658
95,95.308,94.760,95.215,94.842,95.701,94.974,94.528,94.498,37.995,54.814,68.788,86.347,102.625,118.579,134.841,151.352,83.953,88.960,92.806,93.784,95.671,97.490,100.475,102.352,98.794,97.122,91.268,88.585,99.659,86.799
96,96.303,95.741,96.212,95.846,96.692,95.972,95.507,95.499,38.762,55.683,69.693,87.296,103.672,119.645,135.941,152.538,85.499,90.311,93.988,94.810,96.591,98.240,101.104,102.824,99.584,98.008,92.334,89.737,100.840,87.945
97,97.284,96.732,97.214,96.849,97.715,96.987,96.507,96.524,39.562,56.560,70.600,88.245,104.731,120.713,137.066,153.752,87.011,91.664,95.198,95.860,97.513,98.990,101.740,103.299,100.380,98.910,93.439,90.890,102.020,89.090
98,98.266,97.717,98.233,97.841,98.726,98.000,97.513,97.536,40.377,57.456,71.514,89.205,105.769,121.754,138.183,154.959,88.510,92.986,96.409,96.907,98.439,99.765,102.383,103.787,101.178,99.810,94.562,92.090,103.209,90.246
99,99.275,98.732,99.253,98.839,99.748,99.012,98.531,98.536,41.217,58.353,72.433,90.190,106.818,122.839,139.313,156.211,89.976,94.329,97.588,97.950,99.374,100.538,103.039,104.292,101.988,100.717,95.683,93.272,104.432,91.408
100,100.285,99.757,100.275,99.847,100.775,100.035,99.551,99.540,42.057,59.254,73.388,91.181,107.856,123.931,140.452,157.389,91.500,95.665,98.800,99.002,100.296,101.334,103.722,104.823,102.836,101.618,96.803,94.519,105.657,92.582
101,101.300,100.791,101.301,100.866,101.821,101.081,100.562,100.554,42.914,60.184,74.370,92.201,108.890,125.007,141.593,158.553,92.987,97.011,100.004,100.068,101.221,102.159,104.426,105.367,103.682,102.523,97.937,95.788,106.883,93.785
102,102.319,101.805,102.303,101.885,102.829,102.093,101.570,101.550,43.796,61.104,75.327,93.198,109.929,126.113,142.731,159.720,94.457,98.303,101.164,101.130,102.172,102.978,105.135,105.925,104.521,103.420,99.081,97.085,108.083,94.961
